Luas lantai (m2),jenis dinding,jenis lantai,kepemilikan ftbab,sumber ir minum,sumber penerangan,bahan bakar,Banyak ART,outcome
30,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,1,Tidak miskin
63,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,4. Elpiji 3 kg,6,Tidak miskin
30,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
149,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,8,Tidak miskin
119,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
36,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,4,Tidak miskin
162,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
70,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,1. Listrik,5,Miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,2,Tidak miskin
45,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
48,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
55,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,8,Miskin
75,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
56,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,5,Tidak miskin
40,3. Kayu/papan,7. Bambu,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
110,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
90,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
48,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
312,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
96,7. Lainnya,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,2,Tidak miskin
175,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,"2. Elpiji 5,5 kg/blue gas",6,Tidak miskin
162,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
300,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,7,Tidak miskin
80,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
36,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
63,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,11,Miskin
144,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
45,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
60,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
51,1. Tembok,6. Semen/bata merah,6. Lainnya,3. Leding,2.Listrik PLN tanpa meteran,7. Minyak tanah,5,Tidak miskin
70,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,10. Kayu bakar,9,Miskin
168,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,"2. Elpiji 5,5 kg/blue gas",4,Tidak miskin
117,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,7,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,2,Tidak miskin
54,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
35,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,4. Elpiji 3 kg,4,Tidak miskin
78,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
125,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
63,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,3. Listrik non PLN,7. Minyak tanah,5,Tidak miskin
48,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,7,Tidak miskin
46,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
63,1. Tembok,6. Semen/bata merah,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
54,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,3. Listrik non PLN,7. Minyak tanah,2,Tidak miskin
36,5. Batang kayu,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",8. Mata air tak terlindung,3. Listrik non PLN,10. Kayu bakar,3,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,3. Leding,3. Listrik non PLN,7. Minyak tanah,4,Tidak miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,3. Listrik non PLN,7. Minyak tanah,4,Tidak miskin
63,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,3. Listrik non PLN,7. Minyak tanah,4,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",3. Leding,2.Listrik PLN tanpa meteran,10. Kayu bakar,2,Tidak miskin
28,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,3. Listrik non PLN,10. Kayu bakar,6,Miskin
56,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,3. Listrik non PLN,7. Minyak tanah,3,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,3. Leding,3. Listrik non PLN,4. Elpiji 3 kg,4,Tidak miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
12,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,10. Kayu bakar,2,Miskin
216,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,5,Tidak miskin
48,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,10. Kayu bakar,2,Tidak miskin
45,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,2,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,1,Tidak miskin
60,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,10. Kayu bakar,3,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,5,Miskin
20,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,2,Tidak miskin
15,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,3,Tidak miskin
35,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,3. Listrik non PLN,4. Elpiji 3 kg,4,Tidak miskin
66,1. Tembok,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,10. Kayu bakar,4,Miskin
70,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,4,Tidak miskin
243,1. Tembok,2. Keramik,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,10. Kayu bakar,10,Tidak miskin
36,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,4,Miskin
48,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,9,Miskin
78,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,3. Listrik non PLN,10. Kayu bakar,6,Miskin
50,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,5,Tidak miskin
72,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,10. Kayu bakar,9,Miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,7. Minyak tanah,3,Tidak miskin
66,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,3. Listrik non PLN,10. Kayu bakar,5,Miskin
15,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,5,Miskin
60,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
59,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
84,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
49,3. Kayu/papan,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Miskin
107,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
83,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
40,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,4,Tidak miskin
35,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
132,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,"2. Elpiji 5,5 kg/blue gas",4,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,4. Bukan listrik,7. Minyak tanah,1,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
51,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,9. Arang,5,Tidak miskin
54,5. Batang kayu,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
63,3. Kayu/papan,5. Kayu/papan,6. Lainnya,6. Sumur tak terlindung,1. Listrik PLN dengan meteran,9. Arang,5,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,9. Arang,5,Miskin
63,3. Kayu/papan,8. Tanah,6. Lainnya,6. Sumur tak terlindung,4. Bukan listrik,10. Kayu bakar,6,Miskin
54,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
63,1. Tembok,6. Semen/bata merah,6. Lainnya,6. Sumur tak terlindung,1. Listrik PLN dengan meteran,9. Arang,5,Tidak miskin
63,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
54,3. Kayu/papan,2. Keramik,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
70,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
48,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
36,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
28,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,4. Bukan listrik,10. Kayu bakar,4,Tidak miskin
45,3. Kayu/papan,5. Kayu/papan,6. Lainnya,6. Sumur tak terlindung,1. Listrik PLN dengan meteran,1. Listrik,6,Miskin
70,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
35,3. Kayu/papan,8. Tanah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,2.Listrik PLN tanpa meteran,9. Arang,3,Tidak miskin
63,4. Ayaman bambu,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
45,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Miskin
170,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
108,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
45,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
72,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
78,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
30,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,16,Tidak miskin
60,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,8,Tidak miskin
28,3. Kayu/papan,5. Kayu/papan,6. Lainnya,2. Air isi ulang,2.Listrik PLN tanpa meteran,7. Minyak tanah,3,Tidak miskin
63,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,1,Tidak miskin
42,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,5,Tidak miskin
36,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,2. Air isi ulang,2.Listrik PLN tanpa meteran,7. Minyak tanah,1,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,2. Air isi ulang,2.Listrik PLN tanpa meteran,10. Kayu bakar,3,Tidak miskin
36,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Miskin
84,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
36,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,4,Tidak miskin
56,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
80,1. Tembok,2. Keramik,6. Lainnya,2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
35,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,4. Elpiji 3 kg,4,Tidak miskin
56,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
35,4. Ayaman bambu,5. Kayu/papan,6. Lainnya,2. Air isi ulang,2.Listrik PLN tanpa meteran,10. Kayu bakar,3,Miskin
30,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
72,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
96,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
30,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,2.Listrik PLN tanpa meteran,7. Minyak tanah,6,Tidak miskin
56,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
84,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
154,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,4. Elpiji 3 kg,4,Tidak miskin
91,4. Ayaman bambu,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
84,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
40,4. Ayaman bambu,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
91,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
91,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
117,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
51,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
72,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
9,7. Lainnya,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,4. Bukan listrik,10. Kayu bakar,1,Miskin
28,3. Kayu/papan,9. Lainnya,6. Lainnya,5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,1,Tidak miskin
30,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,1,Tidak miskin
48,3. Kayu/papan,9. Lainnya,6. Lainnya,2. Air isi ulang,2.Listrik PLN tanpa meteran,7. Minyak tanah,1,Tidak miskin
42,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
160,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
128,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
12,3. Kayu/papan,9. Lainnya,6. Lainnya,5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,1,Tidak miskin
70,1. Tembok,9. Lainnya,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,4,Tidak miskin
144,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
35,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
96,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
120,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
48,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
96,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
56,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
48,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
63,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
30,3. Kayu/papan,5. Kayu/papan,6. Lainnya,2. Air isi ulang,2.Listrik PLN tanpa meteran,7. Minyak tanah,5,Tidak miskin
30,3. Kayu/papan,5. Kayu/papan,6. Lainnya,2. Air isi ulang,2.Listrik PLN tanpa meteran,7. Minyak tanah,3,Tidak miskin
105,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,7,Tidak miskin
91,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
104,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
104,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
63,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,2,Tidak miskin
